주류명,주종,원산지,용량,도수,제조사,특성
청하,청주,대한민국,300,13,롯데칠성음료,"깔끔한 맛과 향을 자랑하는 청하는 1986년 출시 이래 차게 마시는 청주의 대명사로 오랫동안 사랑받고 있습니다. 세 번 깎은 쌀의 속살을 12~15도 사이의 저온에서 한 달간 서서히 발효시켜, 잡미, 잡향이 없으며, 냉각 여과장치를 이용해 쓴맛과 알코올 냄새를 제거해 더욱 부드러운 술입니다. 청하에 포함되어 있는 아미노산류는 요리의 풍미를 더 해주고 뒷맛을 깔끔하게 하여 음식을 참 맛을 살립니다."
순희,전통주,대한민국,750,6,보해양조,"노령산맥 지하 253m의 천연 암반수로 빚었으며, 16일간의 장기 저온발효 후 숙성하는 차별화된 공법을 사용해 맛과 향이 뛰어납니다. 또한 파스퇴르 공법을 적용, 막걸리 본연의 영양과 신선한 맛이 균일하게 오랫동안 유지되는 게 특징입니다."
국순당 생막걸리,전통주,대한민국,750,6,국순당,유산균 발효 과정에서 생기는 기분 좋은 산미와 직접 키운 건강한 효모가 만들어내는 산뜻한 향미를 더해 신선한 막걸리의 맛을 살렸습니다.
대박,전통주,대한민국,700,6,국순당,"3단 발효법으로 풍미는 높이고 신선함은 그대로 담아냈으며, 냉장숙성을 통해 더욱 부드러운 목넘김과 깔끔한 맛을 느낄 수 있습니다."
옛날 막걸리,전통주,대한민국,750,7.8,국순당,"누룩의 양을 3배 이상 사용하여 맛과 향이 배우 진하고 구수하며, 인공 감미료를 첨가하지 않은 막걸리입니다."
국순당 쌀막걸리,전통주,대한민국,750,5.8,국순당,"곱게 갈아낸 쌀, 직접 키운 누룩과 효모로 세번 발효하여 부드러운 막걸리의 풍미를 살렸습니다."
반하나에 반하나,전통주,대한민국,750,4,국순당,"쌀로 빚은 술에 바나나를 넣은 신개념 술로, 탄산의 청량감과 낮은 알코올 도수로 인해 누구나 가볍게 마시기에 좋습니다. 특히 매운 음식과 아주 잘 어울립니다."
백세주,전통주,대한민국,375,13,국순당,양조전용쌀 설갱미와 좋은 누룩. 엄선한 열두 가지 좋은 약재를 발효시킨 백세주 입니다.
산사춘,전통주,대한민국,375,12,배상면주가,"새콤한 맛과 단맛의 적절한 조화, 과실향이 은은하게 풍겨 마치 와인을 마시는 듯한 기분. 산사춘은 어떤 음식과도 잘 어울려 부담없이 즐기기 좋은 우리술인데요, 특히 고기류, 찜, 편육 등 육류와 함께 곁들이면 아주 좋습니다."
더 클래스,위스키 ,대한민국,450,40,하이트진로,스코틀랜드 위스키 명장과 하이트진로의 합작으로 만든 원액을 정장 스타일에 담은 정통 스카치 위스키입니다.
더 클래스 1933,위스키,대한민국,450,33,하이트진로,풍부한 19년산 원액과 그래인 위스키를 최적화하여 한국인의 입맛에 맞는 위스키를 개발하기 위하여 국내 최정상 연구진이 4년에 걸쳐 만들어낸 최고의 명작입니다.
더 클래스 33도,위스키,대한민국,320,33,하이트진로,대한민국 최고의 위스키 전문가들이 만들어 낸 한국인의 입맛에 가장 잘 맞는 국내 최초 33도 위스키입니다.
더 클래스 33도,위스키,대한민국,450,33,하이트진로,대한민국 최고의 위스키 전문가들이 만들어 낸 한국인의 입맛에 가장 잘 맞는 국내 최초 33도 위스키입니다.
가을국화,약주,대한민국,375,12.5,무학,"야생국화 산국의 꽃잎을 담아 국화 본연의 깊은 향을 간직함. 국내산 찹쌀, 누룩을 정성껏 빚어 부드러운 맛"
참이슬 fresh,소주,대한민국,200,16.5,하이트진로,대나무 숯으로 4번 걸러 더 깨끗한 목넘김과 이슬형태의 곡선 라벨로 더욱 트렌디해진 참이슬fresh 입니다.
참이슬 fresh,소주,대한민국,360,16.5,하이트진로,대나무 숯으로 4번 걸러 더 깨끗한 목넘김과 이슬형태의 곡선 라벨로 더욱 트렌디해진 참이슬fresh 입니다.
참이슬 fresh,소주,대한민국,400,16.5,하이트진로,대나무 숯으로 4번 걸러 더 깨끗한 목넘김과 이슬형태의 곡선 라벨로 더욱 트렌디해진 참이슬fresh 입니다.
참이슬 fresh,소주,대한민국,500,16.5,하이트진로,대나무 숯으로 4번 걸러 더 깨끗한 목넘김과 이슬형태의 곡선 라벨로 더욱 트렌디해진 참이슬fresh 입니다.
참이슬 fresh,소주,대한민국,620,16.5,하이트진로,대나무 숯으로 4번 걸러 더 깨끗한 목넘김과 이슬형태의 곡선 라벨로 더욱 트렌디해진 참이슬fresh 입니다.
참이슬 오리지널,소주,대한민국,200,20.1,하이트진로,"대한민국 소주의 정통성을 지켜온 정통소주로서 대나무 숯으로 4번 걸러, 숙취 유발 물질을 깨끗하게 제거하고 레귤러 대비 높은 도수로, 깊고 진한 맛을 구현해 진짜 소주의 참맛을 아는 소비자들에게 꾸준히 사랑받는 제품입니다."
참이슬 오리지널,소주,대한민국,360,20.1,하이트진로,"대한민국 소주의 정통성을 지켜온 정통소주로서 대나무 숯으로 4번 걸러, 숙취 유발 물질을 깨끗하게 제거하고 레귤러 대비 높은 도수로, 깊고 진한 맛을 구현해 진짜 소주의 참맛을 아는 소비자들에게 꾸준히 사랑받는 제품입니다."
참이슬 오리지널,소주,대한민국,640,20.1,하이트진로,"대한민국 소주의 정통성을 지켜온 정통소주로서 대나무 숯으로 4번 걸러, 숙취 유발 물질을 깨끗하게 제거하고 레귤러 대비 높은 도수로, 깊고 진한 맛을 구현해 진짜 소주의 참맛을 아는 소비자들에게 꾸준히 사랑받는 제품입니다."
진로,소주,대한민국,160,16,하이트진로,진로만이 가지고 있는 No.1 헤리티지를 재해석하여 스카이 블루 색상의 병과 은색 트위스트 캡으로 복원한 소주의 원조 진로가 재탄생했습니다.
진로,소주,대한민국,360,16,하이트진로,진로만이 가지고 있는 No.1 헤리티지를 재해석하여 스카이 블루 색상의 병과 은색 트위스트 캡으로 복원한 소주의 원조 진로가 재탄생했습니다.
진로,소주,대한민국,400,16,하이트진로,진로만이 가지고 있는 No.1 헤리티지를 재해석하여 스카이 블루 색상의 병과 은색 트위스트 캡으로 복원한 소주의 원조 진로가 재탄생했습니다.
진로,소주,대한민국,640,16,하이트진로,진로만이 가지고 있는 No.1 헤리티지를 재해석하여 스카이 블루 색상의 병과 은색 트위스트 캡으로 복원한 소주의 원조 진로가 재탄생했습니다.
진로 제로슈거,소주,대한민국,160,16,하이트진로,2023년 1월 새해을 맞아 제로슈거 및 알코올 도수 16도의 진로 오리지널 레시피를 완성하여 초깔끔하고 부드러운 목넘김을 한층 강화했습니다
진로 제로슈거,소주,대한민국,360,16,하이트진로,2023년 1월 새해을 맞아 제로슈거 및 알코올 도수 16도의 진로 오리지널 레시피를 완성하여 초깔끔하고 부드러운 목넘김을 한층 강화했습니다
진로 제로슈거,소주,대한민국,400,16,하이트진로,2023년 1월 새해을 맞아 제로슈거 및 알코올 도수 16도의 진로 오리지널 레시피를 완성하여 초깔끔하고 부드러운 목넘김을 한층 강화했습니다
진로 제로슈거,소주,대한민국,640,16,하이트진로,2023년 1월 새해을 맞아 제로슈거 및 알코올 도수 16도의 진로 오리지널 레시피를 완성하여 초깔끔하고 부드러운 목넘김을 한층 강화했습니다
진로 1924 헤리티지,소주,대한민국,700,30,하이트진로,최고급 임금님표 이천쌀만을 100% 사용하였으며 정성껏 3번 증류하여 불순물과 잡미를 제거함으로써 증류식 소주 최고의 깊고 깔끔한 맛을 구현
일품진로,소주,대한민국,375,25,하이트진로,"증류의 처음과 마지막에 나오는 원액은 과감히 버리고 향과 풍미가 뛰어난 중간 원액만을 사용하였으며 냉동여과공법으로 영하의 온도에서 잡미, 불순물을 제거하여 깔끔하고 부드러운 목넘김과 은은한 맛을 구연하였습니다."
일품진로 22년산,소주,대한민국,375,31,하이트진로,최상의 향과 풍미를 품을 수 있도록 참나무통에 담아 22년의 기다림과 정성으로 마침내 탄생한 대한민국 최상급 프리미엄 소주
진로 골드,소주,대한민국,360,25,하이트진로,초정밀 여과처리로 깨끗한 맛! 90여년의 노하우로 블렌딩 한 정통 소주
비타500에이슬,소주,대한민국,360,12,하이트진로,"비타500의 상큼함, 참이슬의 깔끔함이 어우러진 비타500에이슬로 입안에서 상큼 깔끔하게 팡팡 터지는 색다르고 즐거운 음용 경험을 느껴보세요"
아이셔에이슬,소주,대한민국,360,12,하이트진로,상큼한 레몬 맛에 강렬한 짜릿함을 더한 ‘아이셔에이슬’로 색다른 재미와 분위기를 선사합니다.
메로나에이슬,소주,대한민국,360,12,하이트진로,멜론의 달콤한 첫 향과 입안을 부드럽게 감싸는 풍미의 ‘메로나에이슬’로 색다르고 즐거운 음용 겸험을 느껴보세요
자몽에이슬,소주,대한민국,360,13,하이트진로,"여성들이 사랑하는 대표 과일 자몽과 대한민국 대표 소주 참이슬이 만나, 상큼함과 청량감은 더하고 13도의 도수로 부담은 낮췄습니다."
청포도에이슬,소주,대한민국,360,13,하이트진로,"달콤한 청포도가 깨끗한 이슬을 만나, 달콤함과 청량감은 한층 업그레이드 되고 13도의 도수로 부담 없이 즐길 수 있습니다."
처음처럼,소주,대한민국,200,16.5,롯데칠성음료,소주의 80%를 차지하고 있는 물은 제품의 맛과 품질을 좌우하는 중요한 요소입니다. 대관령 기슭 암반수로 만들어 술맛이 부드럽고 목 넘김이 좋은 특징을 가지고 있습니다.
처음처럼,소주,대한민국,360,16.5,롯데칠성음료,소주의 80%를 차지하고 있는 물은 제품의 맛과 품질을 좌우하는 중요한 요소입니다. 대관령 기슭 암반수로 만들어 술맛이 부드럽고 목 넘김이 좋은 특징을 가지고 있습니다.
처음처럼,소주,대한민국,400,16.5,롯데칠성음료,소주의 80%를 차지하고 있는 물은 제품의 맛과 품질을 좌우하는 중요한 요소입니다. 대관령 기슭 암반수로 만들어 술맛이 부드럽고 목 넘김이 좋은 특징을 가지고 있습니다.
처음처럼,소주,대한민국,640,16.5,롯데칠성음료,소주의 80%를 차지하고 있는 물은 제품의 맛과 품질을 좌우하는 중요한 요소입니다. 대관령 기슭 암반수로 만들어 술맛이 부드럽고 목 넘김이 좋은 특징을 가지고 있습니다.
순하리 처음처럼 복숭아,소주,대한민국,360,14,롯데칠성음료,
순하리 처음처럼 딸기,소주,대한민국,360,14,롯데칠성음료,
순하리 처음처럼 사과,소주,대한민국,360,12,롯데칠성음료,
순하리 처음처럼 청포도,소주,대한민국,360,12,롯데칠성음료,
순하리 처음처럼 소다,소주,대한민국,360,12,롯데칠성음료,
처음처럼 순,소주,대한민국,360,16,롯데칠성음료,소주의 80%를 차지하고 있는 물은 제품의 맛과 품질을 좌우하는 중요한 요소입니다. 대관령 기슭 암반수로 만들어 술맛이 부드럽고 목 넘김이 좋은 특징을 가지고 있습니다.
처음처럼 진,소주,대한민국,360,20,롯데칠성음료,소주의 80%를 차지하고 있는 물은 제품의 맛과 품질을 좌우하는 중요한 요소입니다. 대관령 기슭 암반수로 만들어 술맛이 부드럽고 목 넘김이 좋은 특징을 가지고 있습니다.
좋은데이,소주,대한민국,360,16.5,무학,72시간 산소숙성 부드러운 맛. 깔끔한 과당제로 소주. 히말라야핑크솔트로 감칠맛 UP. 100ml당 90kcal로 부담없이.
좋은데이,소주,대한민국,450,16.5,무학,72시간 산소숙성 부드러운 맛. 깔끔한 과당제로 소주. 히말라야핑크솔트로 감칠맛 UP. 100ml당 90kcal로 부담없이.
좋은데이,소주,대한민국,640,16.5,무학,72시간 산소숙성 부드러운 맛. 깔끔한 과당제로 소주. 히말라야핑크솔트로 감칠맛 UP. 100ml당 90kcal로 부담없이.
화이트,소주,대한민국,360,19,무학,부드러운 목넘김과 상쾌한 아침을 드리는 자연소주 입니다.
청춘소주,소주,대한민국,360,16.9,무학,가벼운 과당제로 소주. 10회 여과로 순도가 높은 소주 본연의 맛 구현
석류 톡톡,소주,대한민국,360,7,무학,상큼한 과즙과 청량한 탄산이 어우러진 무학의 과일 리큐르 제품입니다.
블루베리 톡톡,소주,대한민국,360,7,무학,상큼한 과즙과 청량한 탄산이 어우러진 무학의 과일 리큐르 제품입니다.
사과 톡톡,소주,대한민국,360,7,무학,상큼한 과즙과 청량한 탄산이 어우러진 무학의 과일 리큐르 제품입니다.
파인애플 톡톡,소주,대한민국,360,7,무학,상큼한 과즙과 청량한 탄산이 어우러진 무학의 과일 리큐르 제품입니다.
민트초코,소주,대한민국,360,12.5,무학,상쾌한 민트와 달콤한 초코의 만남
좋은데이 깔라만시,소주,대한민국,360,12.5,무학,깔라만시 과즙 2.5% 함유! 상큼한 과즙이 그대로 들어갔습니다.
보해소주,소주,대한민국,375,16.8,보해양조,보해소주의 가장 큰 특징은 소금을 넣었다는 것입니다. 수억 년 전 태초의 바다로부터 온 히말라야 핑크솔트와 안데스산맥 호수 소금 그리고 남해바다 신안 토판염까지 세계 3대 소금을 더했습니다. 바다로부터 얻은 가장 자연스러운 소금으로 소주의 쓴맛과 알코올 향을 잡았습니다. 게다가 용량을 기존 녹색병 소주보다 15ml를 늘려 더욱 넉넉하게 즐기실 수 있습니다.
잎새주,소주,대한민국,360,16.5,보해양조,"잎새주는 100% 자연에서 추출한 감미료만을 사용했습니다. 잎새주는 당과 나트륨, MSG를 넣지 않은 소주입니다. 지하 253M 방울샘 천연암반수로 빚은 잎새주. 일반 수돗물을 걸러서 만든 소주와는 비교할 수 없을 만큼 그 맛이 싱그럽습니다."
보해골드,소주,대한민국,375,23,보해양조,"보해골드는 지난 1992년, 희석식 소주의 고급화를 목표로 출시된 후 큰 인기를 얻다가 저도주 열풍으로 잠시 사라졌지만 제품을 찾는 소비자들의 요청이 이어지면서 2017년 재출시 됐습니다. 국내산 쌀보리 주정으로 만들어지며 여기에 최고급 보성녹차를 더해 한층 더 부드럽고 깊은 소주 본연의 맛을 느낄 수 있습니다. 소주 본래의 맛을 기억하고 그리워하는 분들을 위한 술, 바로 보해골드입니다."
여수밤바다,소주,대한민국,360,16.5,보해양조,"2019년 출시된 여수밤바다는 관광명소인 여수를 위해 제작한 특화제품으로 여수를 상징하는 돌산대교와 반짝이는 별빛을 이미지화 시킨 아름다운 소주 라벨이 특징입니다. 2022년 7월에는 웹툰작가 기안84와 협업하여 리뉴얼 제품을 출시했습니다. “여수밤바다 아트홀”이라는 콘셉트로, 제품 라벨을 캔버스로 활용해 작가의 작품을 전시하며 많은 소비자들에게 꾸준한 사랑을 받고 있습니다."
천년애,소주,대한민국,360,17.2,보해양조,천년애는 소주 특유의 알코올 향과 쓴맛을 줄이면서도 소주의 좋은 맛은 남겼습니다.
한라산 21,소주,대한민국,360,21,한라산소주,청정 제주에서 생산된 쌀로 만든 증류원액과 화산암반수로 만든 프리미엄 소주입니다.
한라산 17,소주,대한민국,360,17,한라산소주,청정 제주에서 생산된 쌀로 만든 증류원액과 화산암반수로 만든 프리미엄 소주입니다. 순하고 목넘긴이 부드러운 저도수 소주입니다
시원한 청풍,소주,대한민국,360,16.7,충북소주,
이제우린,소주,대한민국,360,16.5,맥키스컴퍼니,산소가 3배 많아 깔끔한 목넘김과 맛이 부드럽습니다.
선양,소주,대한민국,360,14.9,맥키스컴퍼니,"국내 최저 도수, 국내 최저 칼로리 소주입니다. 제로 슈거입니다."
린21,소주,대한민국,360,21,맥키스컴퍼니,100% 국내산 보리증원액을 첨가한 유일한 희석식 보리소주
다이아몬드,소주,대한민국,360,16.9,대선주조,"에리스리톨 첨가, 식물성 토마틴 첨가, 다중 수(水)처리 공정 정제수 사용"
시원블루,소주,대한민국,360,16.5,대선주조,"헬시플레저 트렌드에 발맞춘 무가당 소주, 최고급 식물성 원료 토마틴 첨가, 5중 水처리 정제수 사용. 제로 슈거"
대선,소주,대한민국,360,16.5,대선주조,"과당, 소금 아미노산 등 무첨가. 기존 제품 보다 낮은 칼로리. 식물성 원료 토마틴 첨가 제로슈거."
시원,소주,대한민국,360,19,대선주조,"부산의 상징 'C1소주' 식물성 토마틴 첨가 아스파라진, 아르지닌 첨가"
준마이다이긴죠겐슈 사카마이 키쿠스이,사케,일본,720,17,키쿠스이,"전 세계에서 오직 키쿠스이에서만 재배 가능한 [환상의 쌀 키쿠스이], 프리미엄 그 이상의 사케 50여년 만에 부활시킨 환상의 쌀 [키쿠스이]와 니이가타현의 깨끗한 물, 그리고 키쿠스이의 양조기술로 탄생시킨 명주로?상쾌한 향기와 원주(겐슈) 특유의 깊이가 특징인 사케입니다."
사카마이 키쿠스이 준마이 다이긴죠,사케,일본,720,15,키쿠스이,환상의 쌀 [키쿠스이]를 부활시켜 만든 준마이다이긴죠! 기분 좋은 향기와 부드러운 맛이 특징으로 키쿠스이의 자신감으로 빚어낸 준마이다이긴죠입니다.
키쿠스이 준마이,사케,일본,720,15,키쿠스이,"여름에는 시원하게, 겨울에는 따뜻하게 즐기는 준마이 풍부한 감칠맛, 하지만 결코 무겁지 않은 깊은 맛으로 많은 분들에게 사랑 받고 있는?키쿠스이를 대표하는 준마이입니다."
키쿠스이 카라구치,사케,일본,720,15,키쿠스이,"부드러운 맛이 기존의 준마이와 차별성을 보여주는 사케 니이가타 사케의 특징인 깨끗하고 깔끔한 맛의 선구자! 1978년 당시 유행하였던 달았던 사케를 대신하여 어떤 음식과도 어울리는 깨끗하고 깔끔한 맛의 사케가 탄생하였습니다.?그 이후, 키쿠스이 카라구치는 니이가타 사케의 기반을 만들며 유행을 선도하는 사케로 자리매김 하였습니다."
