주류명,주종,원산지,용량,도수,제조사,특성
오비라거,맥주,대한민국,355,4.6,오비맥주,"100% 맥아와 독일산 호프만을 사용해 오리지널 100% 몰트 맥주가 주는 깊은 맛은 그대로, 알코올 도수를 5.2도에서 4.6도로 낮춰 쓴 맛을 줄여 목넘김은 더욱 좋아졌습니다.?"
카프리,맥주,대한민국,355,4.2,오비맥주,"프리미엄 아로마 홉과 청정지역 맥아를 엄선하여, 깨끗하고 부드러운 맛을 살린 맥주로 일반 맥주보다 비교적 칼로리가 낮아 가볍게 즐길 수 있습니다."
한맥,맥주,대한민국,355,4.6,오비맥주,"우리의 주식이기도 한 ‘쌀’은 한국인의 식탁에서 빼놓을 수 없는
필수적인 요소입니다. 100% 고품질 국내산 쌀을 첨가하여 한맥만의 상쾌한 풍미를
완성시켰습니다."
한맥,맥주,대한민국,500,4.6,오비맥주,"우리의 주식이기도 한 ‘쌀’은 한국인의 식탁에서 빼놓을 수 없는
필수적인 요소입니다. 100% 고품질 국내산 쌀을 첨가하여 한맥만의 상쾌한 풍미를
완성시켰습니다."
하얼빈,맥주,중국,500,4.3,인베브?하얼빈?브루잉,"1900년에 시작된 중국 최초의 맥주 하얼빈은 당시 만주에 철도를 건설하던 러시아 노동자들을 위해 공급되던 것에서 시작되었습니다. 러시아인과 유럽 최고 맥주 장인들이 유럽 전통의 맛을 동방에서 이어가기 위해 최고의 물을 사용했으며, 하얼빈에서 직접 제조한 효모로 만든 맥주입니다.
장인의 감정을 직접 거쳐 생산되며, 순하고 목 넘김이 부드러운 것이 특징입니다. 하얼빈은 중국 4대 맥주로 꼽히며 중국 젊은이들이 가장 선호하는 맥주입니다. 뿐만 아니라 현재 한국, 영국, 미국, 홍콩, 싱가포르 외의 약 30개 국가에도 수출 중인 글로벌 맥주입니다."
레페브라운,맥주,벨기에,500,6.5,앤하이저부시 인베브,"레페는 중세기 수도사들의 양조기술과 전통을 그대로 계승한 맥주로 레페 브라운은 구운맥아의 은은한 향과 달콤함이 어우러진 부드러운 흑맥주이며, 레페 블론드는 정향나무의 향이 조화된 신선하고 풍부한 맛의 담백한 맥주입니다

남부 벨기에에 건립된 레페 수도원은 1240년 고장에서 가장 신선한 재료를 엄선하여 수도원 맥주를 제조하였습니다. 당시 맥주제조는 봉헌의 의미가 내포되어 엄격한 절차와 규율에 따라 행해졌습니다"
레페블론드,맥주,벨기에 ,500,6.5,앤하이저부시 인베브,"레페는 중세기 수도사들의 양조기술과 전통을 그대로 계승한 맥주로 레페 브라운은 구운맥아의 은은한 향과 달콤함이 어우러진 부드러운 흑맥주이며, 레페 블론드는 정향나무의 향이 조화된 신선하고 풍부한 맛의 담백한 맥주입니다

남부 벨기에에 건립된 레페 수도원은 1240년 고장에서 가장 신선한 재료를 엄선하여 수도원 맥주를 제조하였습니다. 당시 맥주제조는 봉헌의 의미가 내포되어 엄격한 절차와 규율에 따라 행해졌습니다"
산토리 프리미엄 몰트,맥주,일본,500,5.5,산토리무사시노,"“세계 최고의 맥주를 만들고 싶다.” 산토리 프리미엄 몰트는 개발자인 야마모토 류조(山本隆三)의 이러한 신념에서 1989년 탄생하였습니다. 맥주의 본고장인 체코와 독일의 필스너맥주를 이상으로 삼은 거듭된 연구를 통해 세계 어디에서도 찾아볼 수 없는 섬세한 홉의 향과 고귀하면서도 꼭 죄는 쓴 맛, 그리고 순식간에 사라지는 기분 좋은 쓴 맛을 지닌 맥주로 만들어내는데 약 10년이라는 세월이 걸렸습니다.
산토리 프리미엄 몰트는 맥주의 본 고장 유럽, 벨기에에서 펼쳐지는 MONDE DE SELECTION에서 2005년, 2006년, 2007년 3년 연속으로 맥주 부문에서 최고 금상을 수상하였습니다.
산토리 프리미엄 몰트의 특징은 화려한 향과 깊고 진한 맛. 그리고 마신 후에 찾아오는 감동적인 여운. 프리미엄 맥주의 이상을 추구하고, 소재와 제조법에 철저한 ‘남다른 집념’을 가지고 만들고 있습니다."
구스 아일랜드 IPA,맥주,미국,473,5.2,구스아일랜드,"Great American Beer Festival에서 6차례 수상한 맥주, 영국식 IPA로 적당한 홉 향과 함께 오렌지 향 또한 느낄 수 있습니다. 단맛이 부드럽고 은은하게 느껴지며, 어떠한 음식과도 조화를 잘 이루는 균형 잡힌 IPA 맥주입니다."
구스 아일랜드 312 얼반 위트 ,맥주,미국,473,4.2,구스아일랜드,"312라는 이 맥주의 이름은 구스 아일랜드 양조장이 위치한 시카고의 지역 번호에서 유래되었고, 현재 시카고를 대표하는 맥주가 되었습니다. 케스케이드 홉의 스파이시한 향과 함께 상쾌한 과일 향을 느낄 수 있는 부드러운 밀맥주입니다."
덕덕구스 세션 IPA,맥주,미국,500,4.7,덕덕구스,IPA에서 쓴맛은 줄이고 상쾌함은 더한 세션 IPA로 파인애플과 복숭아의 트로피컬한 과일향이 특징인 맥주입니다. 구스아일랜드 브루하우스 강남의 레시피로 연간 6만잔 이상 판매 되었던 베스트셀러 맥주입니다.
구스 아일랜드 Sofie,맥주,미국 ,330,6.5,앤하이저부시 인베브,"Sofie는 새콤하고 드라이한 벨기에 스타일의 팜하우스 스파클링 에일로, 와인 배럴에서 오렌지껍질과 함께 숙성시켜 깊은 풍미를 느낄 수 있습니다. 전반적으로 은은한 오렌지 향이 느껴지고, 끝 맛에서는 부드러운 바닐라 향이 더해져 훌륭한 밸런스를 완성합니다.
특히 샴페인 애호가라면, Sofie의 신선하고 부드러운 바닐라 피니시를 더욱 선호할 것입니다."
구스 아일랜드 Matilda,맥주,미국,355,7,구스아일랜드,"Matilda는 훌륭한 트라피스트 맥주에서 영감을 받은 벨기에식 페일 에일입니다. 야생 효모인 브레타노미세(Brettanomyces)로 발효하여 매콤한 효모의 풍미와 만족스러운 드라이 피니쉬가 특징입니다. 특히, 금빛 일출의 컬러와 더불어 말린 과일과 정향이 매력적입니다.

전해지는 말에 의하면, 마틸다 백작부인이 세운 수도원에서 수도사들이 수세기 동안이나 이 독특한 에일 맥주를 양조해왔다고 합니다. 구스 아일랜드 팀이 벨기에에 머무는 동안 이 전설적인 수도원과 수도사들의 맥주에 영감을 받고, 시카고에 돌아온 이후 존경의 마음을 담아 Matilda를 만들었다는 후문입니다."
구스 아일랜드 Lolita,맥주,미국,765,7.5,구스아일랜드,"Lolita는 분홍장미 빛을 띤 벨기에 스타일 와일드 에일 맥주입니다. 야생 효모를 사용하여 발효시킨 후 라즈베리와 함께 와인 배럴에서 숙성시켰습니다.
청량한 바디감과 라즈베리 향은 물론, 과일 잼의 풍미 또한 은은하게 느낄 수 있습니다. 벨기에 블랑부아즈 또는 람빅과 같이 과일향이 풍부한 맥주를 즐기는 사람들에게 특히 추천하는 맥주입니다."
구스 아일랜드 Bourbon County Stout,맥주,미국,500,13.8,구스아일랜드,"구스 아일랜드의 최초의 양조장인 클라이본 브루펍의 1,000번째 배치에 대한 경의를 표하기 위해 만들어진 버번 카운티 브랜드 스타우트는 블랙홀처럼 검고 진한 리퀴드에 버번 배럴 색의 묵직한 거품을 가진 맥주입니다. 그을린 오크와 초콜릿, 바닐라, 카라멜과 스모크향이 결합된 강렬한 향으로 단 한 모금만으로도 다른 맥주에 비해 훨씬 풍부한 맛을 경험할 수 있습니다."
레드락 오리지널,맥주,중국,500,5,오비맥주,"오리지널 레드락은 부드러운 카라멜 몰트 아로마에 섬세한 홉 향을 느낄 수 있는 밸런스가 좋은 레드 라거입니다. 언제 어디서나 즐기기 좋은 부드러운 맛의 맥주로서, 한국 최초의 프리미엄 비어로 오랜 기간 동안 인기를 끌며 누구에게나 사랑 받았던 “레드락” 맥주에 대한 오마쥬의 의미를 담은 맥주입니다."
레드락 힙 호피 IPA,맥주,중국,500,5,오비맥주,"미국 서부 지역에서 재배된 홉을 사용하여 복숭아, 시트러스함, 열대 과일의 향이 강하게 느껴지는 맥주입니다. 홉 향이 가득한 과일의 풍미는 캐러멜 몰트에서 나오는 단맛과 조화를 이루면서 상쾌하면서도 기분 좋은 쌉쌀함을 남깁니다.
홉의 향이 강하게 느껴지면서도 상대적으로 낮은 알코올 도수로 마시기 편안한 IPA 입니다."
레드락 바이닐 스타우트,맥주,중국,500,5.2,오비맥주,"4가지의 다른 특별한 몰트를 다크 로스팅하여 풍부한 맛을 주는 스타우트입니다. 구운 맥아의 향이 풍부하게 풍기는 꽉 찬 바디감을 느낄 수 있습니다.
진한 초콜릿과 커피향이 느껴지면서, 풍부한 향이 선명한 캐러멜의 달콤한 맛과 훌륭한 조화를 이룹니다."
버드 아이스,맥주,미국,355,5.5,오비맥주,"버드 아이스는 엷은 황금색을 띄며 약간 달콤한 플레이와 부드러운 피니시, 그리고 풍부한 보리의 향과 맛이 특징입니다. 특히 차가운 온도에서 가볍게 마실 수 있도록 쌀이 함유돼 있습니다. 또한 버드 아이스만의 특별한 홉은 햇빛으로부터 맥주를 보호하여 항상 신선하고 부드러운 맛을 유지해 줍니다.
버드 아이스는 1944년 미국 아이스공법으로 만들어진 맥주입니다. 아이스공법은 한겨울에 미국의 한 맥주가게의 직원이 맥주통을 실수로 밖에 놓았다가 얼어버린 일에서 비롯하였습니다.
얼어버린 맥주를 아까워한 맥주장인이 표면의 얼음부터 제거한 후 남아있는 맥주의 맛을 보았는데 예상 외로 맛이 순하고 좋았다고 합니다. 이와 같은 맛을 재현하기 위해 영하에서 주조하는 공법을 아이스공법이라고 합니다.
아이스공법으로 주조된 맥주의 맛에 매료된 맥주 제조자가 같은 방법으로 만들기 시작한 것이 버드 아이스의 시초입니다."
벡스,맥주,독일,500,5,벡스,"벡스는 1873년 독일의 북서부에 위치한 브레멘주에서 처음 제조되었습니다. 브레멘 음악단과 함께 브레멘주를 대표하는 Beck’s의 이름은 양조장인 Heinrich Beck의 성을 따온 것이며, 세계 최초로 초록색 병을 사용하였습니다. 아티스트와의 컬래버레이션과 페스티벌 개최를 통해 그들만의 혁신적이고 자유로운 문화를 전파하고 있습니다. 벡스는 담백하고 깔끔한 맛을 인정받아 독일 내 맥주 수출량 1위를 기록하고 있으며 전 세계 80여 개국에 수출하고 있습니다. 1분에 3,000병씩 팔릴 정도로 전 세계인의 사랑을 받고 있습니다."
핸드앤몰트 상상 PALE ALE,맥주,대한민국,500,5.1,오비맥주,"산 꿀을 넣어 쓴 맛이 적은 PALE ALE로, 4가지 홉의 블렌딩으로 진한 시트러스향과,
허니몰트와 국내산 꿀이 주는 달콤함이 매력적인 페일 에일입니다."
핸드앤몰트 슬로우IPA,맥주,대한민국,355,4.6,오비맥주,"여유롭게, 편하게 즐기는 저도수 IPA로, 완벽한 시트러스향과 깔끔한 끝 맛을 지닌 세션 IPA로,
감귤향과 쌉쌀한 향은 살리면서 도수가 낮아 편하게 즐기실 수 있습니다."
핸드앤몰트 모카 STOUT,맥주,대한민국,500,5,오비맥주,"입안을 감싸는 부드러운 향을 지닌 제품으로, 갓 볶은 커피와
다크 초콜릿향이 부드럽게 입안을 감싸는 풍부한 맛의 흑맥주입니다."
핸드앤몰트 구름 WIT ALE,맥주,대한민국,500,5,오비맥주,"구름처럼 부드럽고 가벼운 거품, 상큼한 과일 맛, 목 넘김이 부드러운
유럽식 밀맥주로 남?여 구분 없이 누구나 즐길 수 있는 것이
특징입니다."
핸드앤몰트 폭포 PALE ALE ,맥주,대한민국,385,5.2,오비맥주,"라거와 에일을 모두 즐기고픈 당신에게 추천하는 페일에일로,
드라이한 맛과 솔향, 폭포처럼 시원하고 청량한 맥주의 맛을 느낄 수 있습니다."
에딩거 바이스비어,맥주,독일,500,5.3,에딩거 바이스 브라우,"정통 바이에른 양조 기술과 최상급 효모가 만나 탄생한 독일 정통 밀맥주 입니다. 은은한 밀 맥아의 풍미, 효모와 쌉쌀한 홉의 조화가 매력적이며, 부드러운 목 넘김은 바이에른 스타일 맥주의 정수를 보여줍니다."
에스트렐라 담,맥주,스페인,500,4.6,S.A Damm 브루,"에스트렐라는 스페인어로 별을 의미한다.

맑은 황금빛을 가지고 있으며 기분좋은 탄산감을 가지고 있다.

옥수수 향과 홉향을 느낄 수 있다.

입안에서는 깔끔한 라거 본연의 맛을 느낄 수 있다.
"
밀러,맥주,미국,500,4.7,밀러,
하이네켄,맥주,네덜란드,355,5,하이네켄,하이네켄은 100% 보리 맥아와 하이네켄만의 독자적인 효모 에이-이스트(A-Yeast)로 만든 골드 컬러의 라거 맥주입니다. 이 에이-이스트가 하이네켄 특유의 깊은 풍미와 미세한 과일 향을 만들어 가벼우면서도 부드럽게 쌉쌀한 맛이 탄생할 수 있었습니다. 하이네켄 캔 역시 이러한 하이네켄 맥주의 완벽함을 그대로를 간직하고 있습니다.
하이네켄 다크 라거,맥주,네덜란드,355,5,하이네켄,"하이네켄 다크는 전통적인 흑맥주는 아니다. 흑맥주의 탈을 쓴 라거. 즉 하이브리드랄까. 하이네켄의 가벼운 맛을 아래로 끌어내리고, 흑맥주의 무거운 맛을 약간 끌어올린 회색 지대의 맛. 아니, 이렇게 이야기하자. 라거의 장점과 흑맥주의 장점을 모두 갖췄다."
하이네켄 다크 라거,맥주,네덜란드,500,5,하이네켄,"하이네켄 다크는 전통적인 흑맥주는 아니다. 흑맥주의 탈을 쓴 라거. 즉 하이브리드랄까. 하이네켄의 가벼운 맛을 아래로 끌어내리고, 흑맥주의 무거운 맛을 약간 끌어올린 회색 지대의 맛. 아니, 이렇게 이야기하자. 라거의 장점과 흑맥주의 장점을 모두 갖췄다."
기네스,맥주,아일랜드,350,4.2,기네스,"향: 커피, 맥아 향과 어우러진 달콤한 향. 풍미: 맥아와 로스팅 특성을 살린 쌉싸름한 맛과 단맛의 완벽한 조화. 맛: 부드럽고 크리미하며 조화로운 균형 "
기네스,맥주,아일랜드,500,4.2,기네스,"향: 커피, 맥아 향과 어우러진 달콤한 향. 풍미: 맥아와 로스팅 특성을 살린 쌉싸름한 맛과 단맛의 완벽한 조화. 맛: 부드럽고 크리미하며 조화로운 균형 "
칭따오,맥주,중국,500,4.7,칭따오 맥주,
삿포로,맥주,일본,500,5,큐슈 히타,
이슬톡톡 폴라포,기타 주류,대한민국,355,3,하이트진로,가볍게 즐길 수 있는 알코올 도수 3%에 달콤한 맛 그리고 톡!톡! 튀는 짜릿한 탄산의 이슬톡톡에 상큼한 폴라포 아이스크림의 포도맛이 더해진 이슬톡톡 폴라포
이슬톡톡 복숭아,기타 주류,대한민국,355,3,하이트진로,톡! 톡! 튀는 탄산을 타고 입안 가득 산뜻하게 퍼지는 상콤달콤한 복숭아 맛의 이슬톡톡은 3%의 낮은 도수로 누구나 맛있게 즐길 수 있습니다.
이슬톡톡 파인애플,기타 주류,대한민국,355,3,하이트진로,톡! 톡! 튀는 탄산을 타고 입안 가득 산뜻하게 퍼지는 새콤달콤한 파인애플 맛의 이슬톡톡은 3%의 낮은 도수로 누구나 맛있게 즐길 수 있습니다.
이슬톡톡 캔디바,기타 주류,대한민국,355,3,하이트진로,톡! 톡! 튀는 탄산의 ‘이슬톡톡’과 소다맛 아이스크림‘캔디바’가 만나 탄생한 ‘이슬톡톡 캔디바’로무더운 여름철 더위를 한방에 날려버릴 청량함을 느껴보세요
망고링고,기타 주류,대한민국,355,2.5,하이트진로,과즙미 팡팡 터지는 망고 과즙과 부담 없는 알코올 도수 2.5%! 그 이름도 달콤 상큼한 망고링고. 매콤하고 짭잘한 음식과 환상 조합입니다.
망고링고,기타 주류,대한민국,500,2.5,하이트진로,과즙미 팡팡 터지는 망고 과즙과 부담 없는 알코올 도수 2.5%! 그 이름도 달콤 상큼한 망고링고. 매콤하고 짭잘한 음식과 환상 조합입니다.
부라더소다,기타 주류,대한민국,355,3,보해양조,부라더소다는 달콤한 밀키맛에 톡 쏘는 탄산을 더한 신개념 주류입니다. 화이트와인을 더해 풍미를 살리고 부드러운 소다 맛으로 알코올의 쓴맛을 잡았습니다. 또한 기존 주류에 비해 도수가 낮은 점을 감안해 750ml 로 넉넉한 용량을 갖췄습니다.
부라더소다,기타 주류,대한민국,750,3,보해양조,부라더소다는 달콤한 밀키맛에 톡 쏘는 탄산을 더한 신개념 주류입니다. 화이트와인을 더해 풍미를 살리고 부드러운 소다 맛으로 알코올의 쓴맛을 잡았습니다. 또한 기존 주류에 비해 도수가 낮은 점을 감안해 750ml 로 넉넉한 용량을 갖췄습니다.
매화수,과실주,대한민국,300,12,하이트진로,청매실 원액과 화이트 와인을 최적의 비율로 블렌딩 부담 없는 알코올 도수 12도에 단맛을 낮추고 화이트 와인과 청매실의 상큼한 맛을 강조
매실마을,과실주,대한민국,330,12.5,무학,청정지역에서 재배 생산된 청매실로 만든 매실 침출주를 16년 숙성하여 진한 풍미와 달콤함이 가득
톡소다,과실주,대한민국,360,5,무학,스페인산 화이트와인이 첨가된 스파클링 와인. 톡쏘는 탄산으로 더 청량하게
복분자주,과실주,대한민국,375,15,보해양조,보해 복분자주는 2004년 출시 이후 보해를 넘어 대한민국을 대표하는 과실주로 국민들에게 사랑받는 제품입니다. 최상급 복분자만을 사용해 그 누구도 따라할 수 없는 보해만의 깊은 맛을 자랑합니다.
복분자주,과실주,대한민국,750,15,보해양죠,보해 복분자주는 2004년 출시 이후 보해를 넘어 대한민국을 대표하는 과실주로 국민들에게 사랑받는 제품입니다. 최상급 복분자만을 사용해 그 누구도 따라할 수 없는 보해만의 깊은 맛을 자랑합니다.
매취순,과실주,대한민국,375,14,보해양조,‘매취순’은 국내 최대 매실농원인 전남 해남 ‘보해매실농원’에서 직접 수확한 국산 청매실로만 담근 프리미엄 매실주 입니다. 남도의 해풍을 맞고 알차게 자란 매실만을 사용해 아름다운 황금빛에 풍부하고 진한 향을 자랑합니다. 매취순은 5년이라는 숙성의 시간을 거쳐 탄생합니다. 또한 더욱 깊은 맛을 원하는 소비자를 위해 10년·12년·15년 숙성 매취순을 선보이고 있습니다.
새로,소주,대한민국,360,16,롯데칠성음료,맛은 부드러우면서도 달콤하고 그러면서도 소주 특유의 알콜향이 적어서 거부감도 적고 먹기도 편하며 맛있다는 평이다. 특히 기존 소주들의 역한 사카린 향이 나지 않아 좋은 편이며 제로 슈거이다.
