,주종,상품명,생산국가,제조사,주원료,용량,도수
0,전통주,입장탁주,대한민국,(농) 입장주조㈜,국내산 쌀,750ml,7
1,전통주,톡 한잔 소주,대한민국,(농)(유)대마주조,"국내산 보리, 쌀",500ml,30
2,전통주,자연담은 복분자막걸리,대한민국,(농)국순당고창명주㈜,"국내산 복분자(고창), 정제수",360ml,6
3,전통주,로얄 안동소주,대한민국,(농)유토피아㈜,국내산 쌀,"600ml, 800ml",45
4,전통주,지란지교,대한민국,(유)친구들의 술 지란지교,"찹쌀,멥쌀,전통누룩(밀),정제수",500ml,17
5,전통주,지란지교 무화과 탁주,대한민국,(유)친구들의술지란지교,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",500ml,12
6,전통주,지란지교 약주,대한민국,(유)친구들의술지란지교,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 밀함유","375ml, 500ml",17
7,전통주,꽃 와인,대한민국,264청포도 와이너리,포도(92%(안동 청수 100%)),"375ml, 750ml",11.5
8,전통주,인사이더 블루베리,대한민국,가나다라브루어리,"사과, 정제수, 효모, 설탕, 블루베리, 구연산(산도조절제), 합성향료(블루베리향),베리류색소,이산화탄소",330ml,3
9,전통주,로제사이더 오미한잔,대한민국,가나다라브루어리,"사과즙(국내산),건조오미자(국내산), 이산화탄소, 효모, 소브산칼륨, 메타중아황산칼륨",500ml,4.5
10,전통주,가야 프리미엄 막걸리,대한민국,가야양조장,김해 쌀(100%),750ml,6
11,전통주,님 그리다,대한민국,가야양조장,"찹쌀, 멥쌀, 누룩(밀)",750ml,6
12,전통주,포엠 로제와인,대한민국,갈기산농업회사,"포도, 설탕, 효모, 메타중아황산나트륨, 소르빈산칼륨",750ml,12
13,전통주,포엠 화이트와인,대한민국,갈기산농업회사,"포도, 백설탕, 효모",750ml,12
14,전통주,로제와인,대한민국,갈기산포도농원,포도(국내산),550ml,12
15,전통주,모리,대한민국,강산명주,"정제수, 보리증류원액",375ml,19
16,전통주,연희유자,대한민국,같이양조장,"멥쌀, 찹쌀, 유자",375ml,10
17,전통주,연희장미,대한민국,같이양조장,"정제수, 멥쌀, 찹쌀, 누룩, 장미",375ml,10
18,전통주,연희민트,대한민국,같이양조장,"정제수, 멥쌀, 찹쌀, 누룩(밀함유), 민트",375ml,9
19,전통주,연희매화,대한민국,같이양조장,"찹쌀, 누룩, 정제수, 매화",375ml,12
20,전통주,산내울 사과애주,대한민국,거창사과원예농협,"사과, 설탕, 주정, 정제수, 과당",750ml,16
21,전통주,산내울 복분자주,대한민국,거창사과원예농협,"복분자, 설탕, 주정, 정제수, 과당",750ml,16
22,전통주,장수홍삼주,대한민국,경원리큐르,국내산 인삼,750ml,25
23,전통주,계룡백일주 40%,대한민국,계룡백일주,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",600ml,40
24,전통주,장보고의 꿈 황칠약주,대한민국,고금주조장,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",500ml,15
25,전통주,완도유자막걸리,대한민국,고금주조장,"정제수, 완도쌀,소맥분,입국,효모,정제효소,유자즙,",750ml,6
26,전통주,징기스칸,대한민국,고도리 와이너리,레드와인,375ml,40
27,전통주,고도리 화이트와인 스위트,대한민국,고도리 와이너리,거봉포도(영천),750ml,10.5
28,전통주,레드 와인 500,대한민국,고도리 와이너리,친환경 거봉 포도,500ml,12
29,전통주,고도리 청수 와인,대한민국,고도리 와이너리,포도(청수),750ml,10.5
30,전통주,고도리 레드와인 스위트,대한민국,고도리 와이너리,MBA 머루포도(영천),750ml,12
31,전통주,고도리 화이트와인 드라이,대한민국,고도리 와이너리,거봉포도(영천),750ml,10.5
32,전통주,고도리 복숭아와인,대한민국,고도리 와이너리,복숭아(경북 영천),750ml,6.5
33,전통주,고도리 로제와인,대한민국,고도리 와이너리,거봉 포도,"375ml, 750ml",12
34,전통주,고도리 아이스와인(아이스 375),대한민국,고도리 와이너리,포도,375ml,12
35,전통주,고도리 샤인머스캣 화이트와인,대한민국,고도리 와이너리,"샤인머스캣99%(국내산), 설탕, 효모, 소브산칼륨, 메타중아황산칼륨","375ml, 750ml",10.5
36,전통주,고도리 징기스칸 브랜디,대한민국,고도리 와이너리,머루포도,375ml,40
37,전통주,고도리 아이스 와인 망고와인,대한민국,고도리 와이너리,mba머루포도 효모 메타중아황사 설탕,375ml,12
38,전통주,고도리 프룬와인,대한민국,고도리 와이너리,"자두 99.585%, 설탕 0.4%, 효모 0.005%, 메타중아황산칼륨 0.005%, 솔빈산칼륨 0.005%",375ml,11.5
39,전통주,꽃빛서리,대한민국,고창서해안복분자주,"증류원액(백미, 생화20가지, 효모), 정제수, 주정, 결정과당, 구연산, L-아스파라긴산, 효소처리스테비아",360ml,17.2
40,전통주,고창선운산 땡큐블루베리주,대한민국,고창선운산,"블루베리과실, 주정, 효모, 구연산, 정제수",300ml,13
41,전통주,쿨샷 7.5,대한민국,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수",300ml,7.5
42,전통주,고창선운산 복분자주 특1호,대한민국,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수",1800ml,15
43,전통주,고창선운산 땡큐복분자주,대한민국,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수",300ml,13
44,전통주,동학 1957,대한민국,고헌정영농조합법인,"국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수","375ml, 700ml",13
45,전통주,골목막걸리 프리미엄 12,대한민국,골목양조장,"정제수, 쌀(국내산), 국, 효모",350ml,12
46,전통주,과천미주,대한민국,과천도가,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",500ml,9
47,전통주,광양 생 막걸리 골드,대한민국,광양주조공사,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",750ml,5
48,전통주,광양 생 막걸리,대한민국,광양주조공사,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",750ml,5
49,전통주,경주교동법주,대한민국,교동법주,찹쌀(국내산),900ml,16
50,전통주,구암대추막걸리,대한민국,구암농산,"쌀, 대추",1000ml,6
51,전통주,아이싱 자몽,대한민국,국순당,"쌀, 자몽엑기스","350ml, 300ml",4
52,전통주,국순당 생막걸리 대박,대한민국,국순당,쌀,750ml,6
53,전통주,국순당 이화주,대한민국,국순당,"이화누룩, 국내산쌀",400ml,12.5
54,전통주,옛날막걸리 古,대한민국,국순당,"국내산쌀, 누룩",750ml,8
55,전통주,1000억 유산균 막걸리,대한민국,국순당,"국내산쌀, 누룩",750ml,5
56,전통주,사시통음주,대한민국,국순당,"쌀, 누룩, 밀가루",550ml,18
57,전통주,2017년 햅쌀로 빚은 첫술,대한민국,국순당,국내산 햅쌀,750ml,7
58,전통주,려,대한민국,국순당,"쌀증류소주원액(여주산 쌀 100%), 정제수, 고구마증류소주원액(여주산 고구마 100%)","375ml, 500ml",25
59,전통주,오디랑,대한민국,국순당고창명주㈜,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",330ml,13
60,전통주,명작복분자,대한민국,국순당고창명주㈜,복분자,375ml,13
61,전통주,선운산의 아침 복분자 막걸리,대한민국,국순당고창명주㈜,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",750ml,6
62,전통주,그랑꼬또 M56,대한민국,그린영농조합,포도,750ml,12
63,전통주,그랑꼬또 로제와인,대한민국,그린영농조합,포도,750ml,12
64,전통주,그랑꼬또 청수,대한민국,그린영농조합,포도,750ml,12
65,전통주,그랑꼬또 레드와인,대한민국,그린영농조합,국내산 포도(캠벨얼리),"750ml, 375ml",12
66,전통주,바랑 탁,대한민국,금계당,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",375ml,15
67,전통주,별바랑,대한민국,금계당,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",375ml,17.5
68,전통주,금산인삼주 12.5%,대한민국,금산인삼주,"국내산쌀 93.5%, 국내산인삼 6.5%",360ml,12.5
69,전통주,명인 홍삼주,대한민국,금산인삼주,"쌀, 홍삼, 누룩, 정제수 등",375ml,12.5
70,전통주,금설,대한민국,금산인삼주,"쌀(국내산)증류원액, 금박(순도97%), 기타과당",375ml,35
71,전통주,미르아토 로제와인,대한민국,금용농산,켐벨포도 등,750ml,12
72,전통주,미르아토 청수 스위트 (화이트)와인,대한민국,금용농산,포도 등,750ml,12
73,전통주,미르아토 증류주 tears of god,대한민국,금용농산,포도 등,200ml,40
74,전통주,사과와인,대한민국,금이산농원,"사과(국내산), 백설탕, 효모, 메타중아황산칼륨",500ml,12
75,전통주,복숭아와인,대한민국,금이산농원,"복숭아(국내산), 백설탕, 효모, 메타중아황산칼륨",500ml,12
76,전통주,금정산성막걸리,대한민국,금정산성 토산주,"백미, 밀(누룩), 정제수",750ml,8
77,전통주,금풍양조,대한민국,금풍양조장,"정제수, 쌀(강화도), 국, 효모, 밀함유",750ml,6.9
78,전통주,과하주23,대한민국,김천과하주,쌀 100%,"400ml, 700ml, 1000ml",23
79,전통주,김천대학교 자두사랑 자두와인,대한민국,김천대학교 자두사랑,피자두 (레드) / 후무사 (화이트),750ml,12
80,전통주,미생 막걸리,대한민국,김포금쌀탁주영농조합법인,"국내산 쌀, 누룩, 효모, 정제효소, 정제수",750ml,6
81,전통주,선호 생막걸리,대한민국,김포금쌀탁주영농조합법인,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",750ml,6
82,전통주,김포특주,대한민국,김포금쌀탁주영농조합법인,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",375ml,15
83,전통주,한강의설레임,대한민국,김포도가두두,"쌀(김포산), 개량누룩, 효모, 정제수",600ml,11
84,전통주,김포 막걸리,대한민국,김포양조,"쌀, 누룩, 정제수",750ml,6
85,전통주,김포예주,대한민국,김포양조,"국내산 쌀, 옥전분",750ml,13
86,전통주,김포별주,대한민국,김포양조,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",500ml,13
87,전통주,김포약주,대한민국,김포양조,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",750ml,11
88,전통주,김포예주 프리미엄,대한민국,김포양조,"국내산 쌀, 국, 효모, 젖산, 정제수",750ml,13
89,전통주,까메오 막걸리,대한민국,낙천,"정제수, 쌀, 효모, 누룩, 과당 등",550ml,6
90,전통주,지장수 호박 생 막걸리,대한민국,낙천,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",750ml,6
91,전통주,지장수 호박막걸리,대한민국,낙천,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",550ml,6
92,전통주,낙천 옥수수 생동동주,대한민국,낙천 탁주제조장,"정제수, 쌀, 옥수수분말, 치자, 입국, 효모, 올리고당, 정제효소, 아스파탐, 사카린나트륨, 밀함유",1700ml,5
93,전통주,열대야,대한민국,날씨양조장,"쌀. 찹쌀, 누룩, 망고, 레몬, 정제수, 밀함유",750ml,9
94,전통주,정고집 나주배 약주 9%,대한민국,남도탁주,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",500ml,9
95,전통주,정고집 나주배 약주 15%,대한민국,남도탁주,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",500ml,15
96,전통주,남한산성소주,대한민국,남한산성소주,"쌀, 엿, 누룩",400ml,40
97,전통주,남한산성소주 21,대한민국,남한산성소주,"쌀증류식소주원액{맵쌀백미(국내산), 쌀}, 조청{쌀(국내산), 엿기름(보리, 국내산), 누룩, 정제수}, 정재수",375ml,21
98,전통주,강소주,대한민국,내국양조,"국내산 쌀, 정제수","200ml, 1800ml",50
99,전통주,화주,대한민국,내국양조,"국내산 쌀, 홍삼농축액, 정제수",375ml,25
100,전통주,송이주,대한민국,내국양조,"국내산 쌀, 송이농축액, 누룩, 정제수",375ml,13
101,전통주,능이주,대한민국,내국양조,"국내산 쌀, 능이농축액, 누룩, 정제수",375ml,13
102,전통주,별,대한민국,내국양조,"올벼찹쌀, 누룩, 효모, 젖산, 정제수",375ml,20
103,전통주,하늘,대한민국,내국양조,"보리, 증류식소주원액, 조제종국, 정제수, 젖산, 효모, 구연산, 오크칩",375ml,45
104,전통주,바람,대한민국,내국양조,"쌀, 증류식소주원액,정제주정, 정제수, 구연산",375ml,20
105,전통주,시,대한민국,내국양조,"딸기, 설탕 효모, 구연산, 포도당, 오크칩",375ml,13
106,전통주,줄포 생막걸리,대한민국,내변산(동진주조),국내산 쌀,750ml,6
107,전통주,맑은술 해밀,대한민국,내변산양조장,"쌀, 누룩, 정제수",500ml,15
108,전통주,담진주,대한민국,내올담 양조장,"경기미, 정제수, 우리밀누룩",500ml,9
109,전통주,담골드,대한민국,내올담 양조장,500ml,"경기미, 정제수, 우리밀누룩",12
110,전통주,내장산 복분자주 지통1호,대한민국,내장산 복분자 영농조합,"복분자, 주정, 정제수, 설탕 등",700ml,16
111,전통주,복분자주 360,대한민국,내장산 복분자 영농조합,"복분자, 주정, 정제수, 설탕 등",360ml,16
112,전통주,노미,대한민국,내촌주조,"국내산 찹쌀, 국내산 쌀",700ml,18
113,전통주,너브내스파클링사과와인,대한민국,너브내와이너리,"사과, 배, 효모, 설탕, 아황산, 수크랄로스, 자일리톨",375ml,8.5
114,전통주,끌로너와 스위트와인,대한민국,너와마을영동조합,머루,750ml,12
115,전통주,일지춘,대한민국,노금주가,"철원오대쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀), 정제수","375ml, 500ml",15
116,전통주,고흥유자주 봄에디션,대한민국,녹동양조장,"쌀, 입국, 누룩, 유자, 원당",500ml,8
117,전통주,녹천 소곡화주 500ml,대한민국,녹천주조장,"찹쌀, 누룩, 백미, 정제수",500ml,41
118,전통주,녹천 소곡화주 480ml,대한민국,녹천주조장,"찹쌀, 누룩, 백미 , 정제수",480ml,41
119,전통주,일엽편주,대한민국,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",375ml,38
120,전통주,일엽편주,대한민국,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",750ml,12
121,전통주,일엽편주,대한민국,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",375ml,15
122,전통주,달 1614 스위트와인,대한민국,농업회사 덕유,"머루(국내산), 포도(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",750ml,12
123,전통주,달홀진주25,대한민국,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",375ml,25
124,전통주,달홀진주40,대한민국,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",375ml,40
125,전통주,주향아라,대한민국,농업회사법인 담을,"쌀, 국, 효모, 정제수",500ml,55
126,전통주,주향담을,대한민국,농업회사법인 담을,"쌀, 국, 효모, 정제수",500ml,41
127,전통주,예화,대한민국,농업회사법인 대윤가야곡주조㈜,"쌀, 누룩, 효모, 물엿, 정제수",750ml,13
128,전통주,오목대,대한민국,농업회사법인 동문거리양조장㈜,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수","1,000ml",5
129,전통주,삼선,대한민국,농업회사법인 두루㈜,"국내산쌀, 누룩, 정제수",500ml,10
130,전통주,고타다이브,대한민국,농업회사법인 두루㈜,"물, 쌀(국내산), 국, 효모 밀함유",730ml,6
131,전통주,맑은내일 유자,대한민국,농업회사법인 맑은내일 주식회사,"정제수, 쌀, 입국[쌀], 주정, 유자과즙, 기타과당, 누룩[밀], 효모, 아밀라아제",735ml,7
132,전통주,밤빛머루,대한민국,농업회사법인 산들벗㈜,무주 머루,360ml,16.9
133,전통주,오롯이 복숭아,대한민국,농업회사법인 솔티마을,"복숭아(국내산) 68%, 설탕, 효모, 이산화탄소, 구연산",375ml,9
134,전통주,우주멜론미 스파클링 막걸리,대한민국,농업회사법인 시향가㈜,"정제수, 멥쌀, 찹쌀, 멜론과즙, 누룩, 설탕, 밀함유",300ml,5
135,전통주,시향가,대한민국,농업회사법인 시향가㈜,"물, 쌀(국내산), 건조토란(국내산), 국, 젖산, 효모, 밀",500ml,8
136,전통주,산막 생유 막걸리,대한민국,농업회사법인 신탄진주조㈜,"국내산 쌀, 소맥분, 종국, 효모",750ml,6
137,전통주,하타,대한민국,농업회사법인 신탄진주조㈜,"쌀, 쌀입국, 효모, 정제수",500ml,16
138,전통주,겨울소주45,대한민국,농업회사법인 아리랑주조㈜,"증류원액[쌀(국내산), 국, 효모, 효소] 100%",360ml,45
139,전통주,연천 연주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 정제수",500ml,12
140,전통주,연천 우주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 효모, 효소, 연천율무, 정제수",360ml,22
141,전통주,연천 아주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 정제수",750ml,8
142,전통주,율무 동동주,대한민국,농업회사법인 연천양조㈜,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",750ml,14
143,전통주,김유정역,대한민국,농업회사법인 예술,"쌀, 정제수, 밀누룩",300ml,6
144,전통주,오매백주,대한민국,농업회사법인 오산양조㈜,"쌀(국내산), 국, 효모, 정제수",500ml,12
145,전통주,오산막걸리,대한민국,농업회사법인 오산양조㈜,"쌀(국내산), 국, 효모, 정제수",500ml,6
146,전통주,맑은내일 Winery 단감명작,대한민국,농업회사법인 우포의아침 주식회사,"단감, 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산화방지제), 소브산(보존료)",750ml,7
147,전통주,맑은내일 스파클링막걸리 Signature,대한민국,농업회사법인 우포의아침 주식회사,"정제수, 맵쌀(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유",970ml,6
148,전통주,맑은내일 발효막걸리 Signature,대한민국,농업회사법인 우포의아침 주식회사,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료/페닐알라닌함유), 밀함유",930ml,6.5
149,전통주,사화정미소,대한민국,농업회사법인 우포의아침 주식회사,"정제수, 찹쌀(국내산), 맵쌀(국내산), 쌀입국, 누룩, 효모, 정제효소, 밀함유",480ml,12
150,전통주,조선주조사,대한민국,농업회사법인 우포의아침 주식회사,"쌀(국내산), 입국, 누룩, 주정, 정제수","300ml, 700ml",14
151,전통주,여유25,대한민국,농업회사법인 유한회사 양촌양조,"증류원액(쌀 국내산 100%), 정제수",375ml,25
152,전통주,여유소주19,대한민국,농업회사법인 유한회사 양촌양조,"증류원액(쌀: 국내산100%), 정제수",375ml,19
153,전통주,이상헌 소주,대한민국,농업회사법인 이가수불㈜,증류소주원액,500ml,52
154,전통주,다랭이팜 유자 막걸리,대한민국,농업회사법인 주식회사 다랭이팜,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",750ml,6
155,전통주,다랭이팜 생막걸리,대한민국,농업회사법인 주식회사 다랭이팜,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",750ml,6
156,전통주,감천막걸리,대한민국,농업회사법인 주식회사 벗드림,"정제수, 멥쌀(국내산), 누룩, 효모, 밀함유",750ml,6
157,전통주,화전일취 15,대한민국,농업회사법인 주식회사 지시울,찹쌀(국내산) 멥쌀(국내산) 전통누룩(국내산 밀) 정제수,500ml,15
158,전통주,선비 진,대한민국,농업회사법인 토끼소주㈜,"진증류원액, 찹쌀(국내산), 감귤(국내산)",375ml,48
159,전통주,선비 보드카,대한민국,농업회사법인 토끼소주㈜,"정제수, 주정, 쌀증류식소주원액",750ml,40
160,전통주,토끼 소주,대한민국,농업회사법인 토끼소주㈜,"정제수, 찹쌀, 누룩, 효모, 효소제\\",375ml,23
161,전통주,냥이탁주 화이트,대한민국,농업회사법인 행주산성주가,"정제수, 쌀, 누룩, 밀함유",350ml,10.5
162,전통주,지리산 강쇠,대한민국,농업회사법인(유)술소리,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",375ml,13
163,전통주,주몽복분자주,대한민국,농업회사법인(유)술소리,"국내산 쌀, 국내산 복분자",375ml,16
164,전통주,황진이주,대한민국,농업회사법인(유)술소리,"국내산 오미자, 국내산 산수유",375ml,13
165,전통주,천마이야기 막걸리,대한민국,농업회사법인산들벗㈜,"팽화미, 입국미, 무주천마분말, 오미자추출액",750ml,6
166,전통주,블루베리 이야기,대한민국,농업회사법인산들벗㈜,"국내산 산머루 50%, 블루베리 50%",375ml,12
167,전통주,오마이갓스파클링,대한민국,농업회사법인송도향(유),"정제수, 목련발효청, 쌀, 입국, 쌀보리, 고구마, 탄산가스, 누룩, 효모, 정제효소",500ml,9
168,전통주,송도막걸리,대한민국,농업회사법인송도향(유),"정제수, 쌀(국내산), 쌀보리(국내산), 고구마(국내산), 레몬, 자일리톨, 종국, 효모, 정제효소",700ml,6
